"Taxon"	"NCBI_taxid"	"Synonyms"	"Taxonomic.level"	"Ecology"	"Diet_varies_by_lifestage"	"Other information"	"References"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Tephritidae;g__Bactrocera;s__Bactrocera dorsalis"	27457	"Bactrocera (Bactrocera) dorsalis;Bactrocera (Bactrocera) invadens;Bactrocera invadens;Bactrocera papayae;Bactrocera philippinensis;Dacus dorsalis"	"Species"	"Herbivores"	"No"		"Hou, Q.-L., Chen, E.-H., Dou, W., Wang, J.-J., 2020. Assessment of Bactrocera dorsalis (Diptera: Tephritidae) Diets on Adult Fecundity and Larval Development: Insights Into Employing the Sterile Insect Technique. Journal of Insect Science 20(1). https://doi.org/10.1093/jisesa/iez128."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Zygentoma;f__Lepismatidae"	27551		"Family"	"Detritivores"	"No"		"Triplehorn, C.A., Johnson, N.F., 2005. Borror and DeLong's Introduction to the Study of Insects, seventh ed. Brooks/Cole, Pacific Grove, CA."
"k__Metazoa;p__Nematoda;c__Enoplea;o__Mermithida"	27838		"NA"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Enoplea;o__Mermithida;f__Mermithidae"	27840	"Mermitidae"	"Family"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Platyhelminthes;c__Trematoda;o__Plagiorchiida"	27871		"Class"	"Carnivores"	"No"		"Gibson, D.I., Jones, A., Bray, R.A., 2002. Keys to the Trematoda, vol. 1. CABI Publishing and The Natural History Museum, Wallingford."
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Rhabdocoela;f__Typhloplanidae"	27902	"Carcharodopharyngidae"	"NA"	"NA"	"NA"	"Different feeding habits within the family"	
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Apidae;g__Bombus"	28641		"Genus"	"Herbivores"	"No"		"Wood, T.J., Ghisbain, G., Rasmont, P., Kleijn, D., Raemakers, I., Praz, C., Killewald, M., Gibbs, J., Bobiwash, K., Boustani, M., Martinet, B., Michez, D., 2021. Global patterns in bumble bee pollen collection show phylogenetic conservation of diet. Journal of Animal Ecology 90(10), 2421–2430. https://doi.org/10.1111/1365-2656.13553"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae"	29026		"NA"	"Carnivores"	"No"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Carpelimus"	29027		"Genus"	"Microbivores"	"No"	"Feed on algae"	"Svobodová, Z., Skoková Habuštová, O., Boháč, J., Sehnal, F., 2016. Functional diversity of staphylinid beetles (Coleoptera: Staphylinidae) in maize fields: testing the possible effect of genetically modified, insect resistant maize. Bulletin of Entomological Research 106(4), 432–445. https://doi.org/10.1017/s000748531500111x"
"k__Metazoa;p__Arthropoda;c__Protura"	29999	"Myrientomata"	"Class"	"Fungivores"	"No"		"Galli, L., Capurro, M., Colasanto, E., Molyneux, T., Murray, A., Torti, C., Zinni, M., 2020. A synopsis of the ecology of Protura (Arthropoda: Hexapoda). Revue suisse de Zoologie 126(2), 155-164. https://doi.org/10.5281/zenodo.3463443"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Poduromorpha;f__Hypogastruridae;g__Hypogastrura"	30003		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;g__Graminella;s__Graminella nigrifrons"	30127		"Species"	"Herbivores"	"No"		"Hunt, R.E., Nault, L.R., 1991. Roles of interplant movement, acoustic communication, and phototaxis in mate-location behavior of the leafhopper Graminella nigrifrons. Behavioral Ecology and Sociobiology 28(5), 315–320. https://doi.org/10.1007/bf00164380"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera"	30262		"NA"	"NA"	"NA"	"Different feeding habits within the order"	
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Rhabditella"	31237	"Rhabdibicauda"	"Genus"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Tetranychidae;s__Tetranychus urticae"	32264		"Species"	"Herbivores"	"No"	"Pest on many crop plants, and their feeding activity is based on sucking leaf cell contents"	"Parmagnani, A.S., Mannino, G., Brillada, C., Novero, M., Dall’Osto, L., Maffei, M.E., 2023. Biology of Two-Spotted Spider Mite (Tetranychus urticae): Ultrastructure, Photosynthesis, Guanine Transcriptomics, Carotenoids and Chlorophylls Metabolism, and Decoyinine as a Potential Acaricide. International Journal of Molecular Sciences 24(2), 1715. https://doi.org/10.3390/ijms24021715"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Tylenchida"	33283	"Tylenchida"	"NA"	"NA"	"NA"	"Different feeding habits within the order"	
"k__Metazoa;p__Arthropoda;c__Malacostraca;o__Isopoda;f__Trichoniscidae;g__Trichoniscus;s__Trichoniscus pusillus"	33330		"Species"	"Detritivores"	"No"		"Kautz, G., Zimmer, M., Topp, W., 2000 Responses of the parthenogenetic isopod, Trichoniscus pusillus (Isopoda: Oniscidea), to changes in food quality. Pedobiologia 44, 75-85. https://doi.org/10.1078/S0031-4056(04)70029-3"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Aphelenchoididae"	33823	"Aphelenchoidoididae"	"NA"	"NA"	"NA"	"Different feeding habits within the family"	
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Steinernematidae;g__Steinernema;s__Steinernema carpocapsae"	34508	"Neoaplectana carpocapsae"	"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Heteroderidae;g__Heterodera"	34509	"Afenestrata"	"Genus"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Heteroderidae;g__Heterodera;s__Heterodera avenae"	34510		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Ixodida;f__Ixodidae;g__Ixodes;s__Ixodes ricinus"	34613		"Species"	"Carnivores"	"No"	"Hematophagous"	"Matuschka, F.-R., Fischer, P., Musgrave, K., Richter, D., Spielman, A., 1991. Hosts on Which Nymphal Ixodes ficinus Most Abundantly Feed. The American Journal of Tropical Medicine and Hygiene 44(1), 100–107. https://doi.org/10.4269/ajtmh.1991.44.100"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Theridiidae"	34643		"Family"	"Carnivores"	"No"		"Moura, R.R., Pêgo, P.T., Sobczak, J.F., Gonzaga, M.O., 2023. Individual diet specialization in the spider Tidarren haemorrhoidale (Bertkau, 1880) (Theridiidae). Ethology 129, 559–569. https://doi.org/10.1111/eth.13392"
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Rhabditidae;g__Pelodera;s__Pelodera strongyloides"	35557	"Pelodytes strongyloides"	"Species"	"Bacterivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nemertea;c__Enopla;o__Monostilifera;f__Tetrastemmatidae;g__Prostoma"	35727		"Genus"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
