"Taxon"	"NCBI_taxid"	"Synonyms"	"Taxonomic.level"	"Ecology"	"Diet_varies_by_lifestage"	"Other information"	"References"
"k__Metazoa;p__Arthropoda;c__Chilopoda;o__Geophilomorpha;f__Schendylidae;g__Schendyla;s__Schendyla nemorensis"	1147033	"Geophilus nemorensis"	"Species"	"Carnivores"	"No"		"Pollierer, M.M., Langel, R., Scheu, S., Maraun, M., 2009. Compartmentalization of the soil animal food web as indicated by dual analysis of stable isotope ratios (15N/14N and 13C/12C). Soil Biology and Biochemistry 41(6), 1221–1226. https://doi.org/10.1016/j.soilbio.2009.03.002"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Apidae;g__Bombus;s__Bombus lantschouensis"	1164557		"Species"	"Herbivores"	"No"		"Du, L., Wang, M., Li, J., He, S., Huang, J., Wu, J., 2019. Characterization of a Vitellogenin Receptor in the Bumblebee, Bombus lantschouensis (Hymenoptera, Apidae). Insects 10(12), 445. https://doi.org/10.3390/insects10120445"
"k__Metazoa;p__Annelida;c__Clitellata;o__Parvidrilida;f__Parvidrilidae;g__Parvidrilus;s__Parvidrilus jugeti"	1171979		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Nebria;s__Nebria rufescens"	1177201	"Carabus rufescens"	"Species"	"Carnivores"	"No"		"Raso, L., Sint, D., Mayer, R., Plangg, S., Recheis, T., Brunner, S., Kaufmann, R., Traugott, M., 2014. Intraguild predation in pioneer predator communities of alpine glacier forelands. Molecular Ecology 23(15), 3744–3754. https://doi.org/10.1111/mec.12649."
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Desoria;s__Desoria trispinata"	1184801		"Species"	"Detritivores"	"No"		"Zettel, J., 2010. Springtails and Silverfishes (Apterygota). BioRisk 4(13.5), 851–854. https://doi.org/10.3897/biorisk.4.47"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Folsomides;s__Folsomides parvulus"	1184808		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Weberacantha;s__Weberacantha beckeri"	1184814		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Isotomidae;g__Isotomodes"	1184818		"Genus"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Trichodoridae;g__Trichodorus;s__Trichodorus viruliferus"	1190641	"Trichodorus viruliferous"	"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Scutelleridae;g__Odontoscelis;s__Odontoscelis fuliginosa"	1191092	"Cimex fuliginosus"	"Species"	"Herbivores"	"No"		"Watson, L., Dallwitz, M.J., 2003 onwards. Insects of Britain and Ireland: the families of Hemiptera. Version: 27th July 2019. https://www.delta-intkey.com/britin/hem/www/scutelle.htm"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Tipulidae;g__Tipula;s__Tipula submarmorata"	1191670	"Tipula (Pterelachisus) submarmorata"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Gastrotricha;c__;o__Chaetonotida;f__Chaetonotidae;g__Heterolepidoderma;s__Heterolepidoderma acidophilum"	1194612	"Heterolepidoderma ocellatum f. sphagnophilum;Heterolepidoderma ocellatum sphagnophilum;Heterolepidoderma sphagnophilum"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Gastrotricha;c__;o__Chaetonotida;f__Chaetonotidae;g__Lepidodermella;s__Lepidodermella intermedia"	1194613		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Embioptera;f__Embiidae;g__Embia;s__Embia tyrrhenica"	1208769		"Species"	"Omnivores"	"No"	"Primarily detritivorous and phytophagous, with occasional cannibalistic behaviour"	"Fontana, P., Buzzetti, F.M., Stancher, G., 2022. Un gruppo poco conosciuto: generalità, raccolta, allevamento e studio degli Embiotteri italiani e mediterranei. Bollettino della Società entomologica italiana 154(1), 29-43."
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Aphelenchoididae;g__Aphelenchoides;s__Aphelenchoides blastophthorus"	1209610		"Species"	"Fungivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Diphtherophoridae;g__Tylolaimophorus;s__Tylolaimophorus typicus"	1209612		"Species"	"Fungivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Phytoptidae"	1221082		"Family"	"Herbivores"	"No"		"Kiedrowicz, A., Lewandowski, M., Skoracka, A., 2016. Diversity and significance of eriophyoid mites (Acari: Eriophyoidea) associated with coniferous trees in Poland: a review. Biological Letters 53(1), 19–30. https://doi.org/10.1515/biolet-2017-0003"
"k__Metazoa;p__Rotifera;c__Eurotatoria;o__Philodinida;f__Philodinidae;g__Didymodactylos;s__Didymodactylos carnosus"	1234261		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Nanorchestidae;g__Nanorchestes"	1251890		"Genus"	"Microbivores"	"No"	"Feed on algae"	"Luxton, M., 1990. The marine littoral mites of the New Zealand region. Journal of the Royal Society of New Zealand 20(4), 367–418. https://doi.org/10.1080/03036758.1990.10426719"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Ereynetidae"	1251929		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Stigmaeidae;g__Eustigmaeus"	1252988		"Genus"	"Carnivores"	"No"		"Khaustov, A.A., 2019. Contribution to systematics of the genus Eustigmaeus (Acari: Stigmaeidae) of Russia. Acarologia 59(1), 152–173. https://doi.org/10.24349/acarologia/20194320"
"k__Metazoa;p__Arthropoda;c__Chilopoda;o__Geophilomorpha;f__Linotaeniidae;g__Strigamia;s__Strigamia acuminata"	1255758	"Geophilus acuminatus"	"Species"	"Carnivores"	"No"		"Ferlian, O., Scheu, S., Pollierer, M.M., 2012. Trophic interactions in centipedes (Chilopoda, Myriapoda) as indicated by fatty acid patterns: Variations with life stage, forest age and season. Soil Biology and Biochemistry 52, 33–42. https://doi.org/10.1016/j.soilbio.2012.04.018"
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Mesostigmata;f__Trachytidae;g__Trachytes;s__Trachytes aegrota"	1255759	"Celaeno aegrota"	"Species"	"Omnivores"	"No"		"Bowman, C.E., 2021. Feeding design in free-living mesostigmatid chelicerae (Acari: Anactinotrichida). Experimental and Applied Acarology 84(1), 1–119. https://doi.org/10.1007/s10493-021-00612-8"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Bradysia;s__Bradysia cinerascens"	1260803	"Sciara cinerascens"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Ctenosciara;s__Ctenosciara hyalipennis"	1260805	"Ctenosciara hyalipennis;Sciara hyalipennis"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Sciara;s__Sciara multispinulosa"	1260813		"Species"	"Fungivores"	"No"		"Mlynarek, J.J., Grégoire Taillefer, A., Wheeler, T.A., 2018. Saproxylic Diptera assemblages in a temperate deciduous forest: implications for community assembly. PeerJ 6, e6027. https://doi.org/10.7717/peerj.6027"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Cratyna;s__Cratyna vagabunda"	1260827	"Cratyna (Peyerimhoffia) vagabunda"	"Species"	"Detritivores"	"No"	"Larvae are detritivores"	"Shin, S., Menzel, F., Heller, K., Lee, H., Lee, S., 2014. Review of the genus Cratyna Winnertz (Diptera: Sciaridae) in Korea, including the description of a new species. Zootaxa 3794(3). https://doi.org/10.11646/zootaxa.3794.3.2"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Cratyna;s__Cratyna nobilis"	1260830	"Cratyna (Spathobdella) nobilis"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Leptosciarella;s__Leptosciarella rejecta"	1260834	"Leptosciarella (Leptosciarella) rejecta rejecta;Leptosciarella (Leptosciarella) rejecta;Leptosciarella rejecta echinata;Leptosciarella rejecta rejecta"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Leptosciarella;s__Leptosciarella subpilosa"	1260836	"Leptosciarella (Leptosciarella) subpilosa"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Zygoneura;s__Zygoneura sciarina"	1260848	"Zygoneura (Zygoneura) sciarina"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Corynoptera;s__Corynoptera subtilis"	1260857	"Sciara subtilis"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Corynoptera;s__Corynoptera boletiphaga"	1260858	"Neosciara boletiphaga"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Scatopsciara"	1260859		"Genus"	"Fungivores"	"No"		"Gorban, I., Podėnienė, V., 2021. Diversity of the Bibionomorpha and Tipulomorpha (Diptera) from dead ash and aspen wood in the forests of Lithuania. Baltic forestry 27(1). https://doi.org/10.46490/bf538"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Camptochaeta;s__Camptochaeta camptochaeta"	1260863	"Corynoptera camptochaeta"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Bradysiopsis;s__Bradysiopsis vittigera"	1260868	"Sciara vittigera"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Corynoptera;s__Corynoptera saetistyla"	1260876		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Sciaridae;g__Bradysia;s__Bradysia tilicola"	1262229	"Sciara tilicola"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Hybotidae;g__Hybos;s__Hybos culiciformis"	1262239	"Asilus culiciformis"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Photophorus;s__Photophorus jansonii"	1266551		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Opiliones;f__Phalangiidae;g__Mitopus;s__Mitopus morio"	1267525		"Species"	"Carnivores"	"No"		"Phillipson, J., 1960. A Contribution to the Feeding Biology of Mitopus morio (F) (Phalangida). The Journal of Animal Ecology 29(1), 35. https://doi.org/10.2307/2269"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Trichoptera;f__Sericostomatidae;g__Sericostoma;s__Sericostoma personatum"	1271737		"Species"	"Detritivores"	"No"		"Wagner, R., 1990. A laboratory study on the life cycle of Sericostoma personatum (Kirby & Spence), and light dark-dependent food consumption. Hydrobiologia 208, 201–212. https://doi.org/10.1007/BF00007785"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Trichoptera;f__Limnephilidae;g__Glyphotaelius;s__Glyphotaelius pellucidus"	1271742		"Species"	"Detritivores"	"No"		"Otto, C., 1983. Behavioural and Physiological Adaptations to a Variable Habitat in Two Species of Case-Making Caddis Larvae Using Different Food. Oikos 41(2), 188-194. https://doi.org/10.2307/3544262"
"k__Metazoa;p__Gastrotricha;c__;o__Chaetonotida;f__Chaetonotidae;g__Chaetonotus;s__Chaetonotus acanthodes"	1274457		"NA"	"NA"	"NA"		
"k__Metazoa;p__Gastrotricha;c__;o__Chaetonotida;f__Chaetonotidae;g__Ichthydium;s__Ichthydium skandicum"	1274492		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Cicadellidae;g__Eupteryx;s__Eupteryx atropunctata"	1276742	"Eupteryx petasilidis"	"Species"	"Herbivores"	"No"		"Günthardt, M.S., Wanner, H., 1981. The feeding behaviour of two leafhoppers on Vicia faba. Ecological Entomology 6, 17-22. https://doi.org/10.1111/j.1365-2311.1981.tb00968.x, M.S. and WANNER, H. (1981), The feeding behaviour of two leafhoppers on Vicia faba. Ecological Entomology, 6: 17-22. https://doi.org/10.1111/j.1365-2311.1981.tb00968.x"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Aeolothripidae;g__Aeolothrips;s__Aeolothrips duvali"	1291219		"Species"	"Herbivores"	"No"		"Tingey, W.M., Jorgensen, C.D., Frischknecht, N.C., 1972. Thrips of the Sagebrush-Grass Range Community in West-Central Utah. Journal of Range Management 25(4), 304. https://doi.org/10.2307/3896919"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__Aeolothrips;s__Anaphothrips incertus"	1291222	"Limothrips incertus"	"Species"	"Herbivores"	"No"		"Palmer, C.M., Mound, L.A., 2020. The diversity of thrips (Insecta: Thysanoptera) on buffel grass (Cenchrus ciliaris) is markedly lower than on native grasses in an urban landscape. Journal of Urban Ecology 6(1). https://doi.org/10.1093/jue/juaa024"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__Pseudodendrothrips;s__Pseudodendrothrips mori"	1291231	"Belothrips mori"	"Species"	"Herbivores"	"No"		"https://keys.lucidcentral.org/keys/v3/thrips_of_california/identify-thrips/key/california-thysanoptera-2012/Media/Html/browse_species/Pseudodendrothrips_mori.htm"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__Aptinothrips;s__Aptinothrips rufus"	1291243	"Thrips rufus"	"Species"	"Herbivores"	"No"		"Sharga, U.S., 1933. Biology and life history of Limothrips cebealium Haliday and Aptinothrips rufus Gmelin feeding on Gramineae. Annals of Applied Biology 20(2), 308–326. https://doi.org/10.1111/j.1744-7348.1933.tb07768.x"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Thysanoptera;f__Thripidae;g__Tenothrips;s__Tenothrips frici"	1291297		"Species"	"Herbivores"	"No"		"Kobro, S., Ulitzka, M.R., 2021. Thrips orarius sp. n. and six first records of thrips (Thysanoptera) from Norway. Norwegian Journal of Entomology 68, 130–145."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Muscidae;g__Spilogona ;s__Spilogona contractifrons"	1291936		"NA"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Aphelenchoididae;g__Robustodorus"	1293520	"Megadorus"	"Genus"	"Fungivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Triplonchida;f__Tripylidae;g__Tripyla;s__Tripyla daviesae"	1297122		"Species"	"Carnivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae;g__Dicranocentrus;s__Dicranocentrus wangi"	1302322		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae;g__Pseudosinella;s__Pseudosinella alba"	1302326	"Lepidocyrtus albus"	"Species"	"Fungivores"	"No"		"Jørgensen, H.B., Elmholt, S., Petersen, H., 2003. Collembolan dietary specialisation on soil grown fungi. Biology and Fertility of Soils 39(1), 9–15. https://doi.org/10.1007/s00374-003-0674-6"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Tomoceridae;g__Tomocerus;s__Tomocerus ocreatus"	1302332		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Araneae;f__Linyphiidae;g__Erigone;s__Erigone psychrophila"	1304388		"Species"	"Carnivores"	"No"		"Schmidt, N.M., Mosbacher, J.B., Eitzinger, B., Vesterinen, E.J., Roslin, T., 2018. High resistance towards herbivore-induced habitat change in a high Arctic arthropod community. Biology Letters 14(5), 20180054. https://doi.org/10.1098/rsbl.2018.0054 / Cuff, J. P., Drake, L. E., Tercel, M. P. T. G., Stockdale, J. E., Orozco‐terWengel, P., Bell, J. R., Vaughan, I. P., Müller, C. T., Symondson, W. O. C., 2020. Money spider dietary choice in pre‐ and post‐harvest cereal crops using metabarcoding. Ecological Entomology 46(2), 249–261. https://doi.org/10.1111/een.12957"
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Rhabdocoela;f__Dalyelliidae;g__Gieysztoria;s__Gieysztoria ornata"	1311893	"Dalyellia ornata"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Rhabdocoela;f__Dalyelliidae;g__Gieysztoria;s__Gieysztoria rubra"	1311895		"NA"	"NA"	"NA"		
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Rhabdocoela;f__Dalyelliidae;g__Microdalyellia;s__Microdalyellia armigera"	1311898	"Vortex armiger"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Rhabdocoela;f__Carcharodopharyngidae;g__Carcharodopharynx"	1311921		"NA"	"NA"	"NA"		
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Rhabdocoela;f__Typhloplanidae;g__Acrochordonoposthia;s__Acrochordonoposthia conica"	1311952		"Species"	"Carnivores"	"No"		"Houben, A.M., Proesmans, W., Bert, W., Artois, T.J., 2014. Revision of Acrochordonoposthia Reisinger, 1924 (Rhabditophora, Typhloplanidae, Protoplanellinae) with the description of one new species. Zootaxa 3790, 36-50. https://doi.org/10.11646/zootaxa.3790.1.2"
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Rhabdocoela;f__Provorticidae;g__Canetellia;s__Canetellia beauchampi"	1311971		"NA"	"NA"	"NA"		
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Rhabdocoela;f__Dalyelliidae;g__Pseudodalyellia;s__Pseudodalyellia alabamensis"	1311992		"NA"	"NA"	"NA"		
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Rhabdocoela;f__Typhloplanidae;g__Typhloplana;s__Typhloplana viridata"	1312000	"Planaria viridata"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Orthoptera;f__Acrididae;g__Podisma;s__Podisma carpetana"	1321395		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Ilyobates;s__Ilyobates nigricollis"	1321679		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Ocalea;s__Ocalea badia"	1321685		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Ocalea;s__Ocalea corsicana"	1321686		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Staphylinidae;g__Thinonoma;s__Thinonoma atra"	1321721	"Tachyusa atra"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Embioptera;f__Oligotomidae;g__Haploembia;s__Haploembia palaui"	1323539		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Sarcoptiformes;f__Oribatulidae;g__Oribatula;s__Oribatula sakamorii"	1323719		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__Docosia;s__Docosia muranica"	1343501		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Mycetophilidae;g__Novakia;s__Novakia scatopsiformis"	1343531		"NA"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Pratylenchidae;g__Hoplotylus;s__Hoplotylus femina"	1368613		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Pamphiliidae;g__Cephalcia;s__Cephalcia lariciphila"	1384797		"Species"	"Herbivores"	"No"		"Vejpustková, M., Holuša, J., 2006. Impact of defoliation caused by the sawfly Cephalcia lariciphila (Hymenoptera: Pamphilidae) on radial growth of larch (Larix decidua Mill.). European Journal of Forest Research 125(4), 391–396. https://doi.org/10.1007/s10342-006-0112-z"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Tenebrionidae;g__Blaps;s__Blaps nitens"	1390667		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Tingidae;g__Acalypta"	1400081		"Genus"	"Herbivores"	"No"		"Rédei, D., Harmat, B., Hufnagel, L., 2004. Ecology of the Acalypta species occurring in Hungary (Insecta: Heteroptera: Tingidae). Applied Ecology and Environmental Research 2(2), 73-91."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Hybotidae;g__Bicellaria;s__Bicellaria nigra"	1403658	"Cyrtoma nigra"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Carabidae;g__Trechus;s__Trechus rubens"	1407890		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Collembola;o__Symphypleona;f__Bourletiellidae;g__Heterosminthurus"	1410433		"NA"	"NA"	"NA"		
"k__Metazoa;p__Tardigrada;c__Eutardigrada;o__Parachela;f__Doryphoribiidae;g__Apodibius;s__Apodibius confusus"	1424308		"Species"	"Microbivores"	"No"		"Hohberg, K., Russell, D.J., Elmer, M., 2011. Mass occurrence of algal‐feeding tardigrade Apodibius confusus, in the young soils of a post‐mining site. Journal of Zoological Systematics and Evolutionary Research 49(s1), 62–65. https://doi.org/10.1111/j.1439-0469.2010.00600.x"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hemiptera;f__Aphididae;g__Euceraphis;s__Euceraphis punctipennis"	1425397		"Species"	"Herbivores"	"No"		"Magyar, D., Strażyński, P., Grewling, Ł., Pashley, C. H., Satchwell, J., Bobvos, J., Ladányi, M., 2023. The contribution of aphids (Aphidoidea) to atmospheric concentrations of Alternaria and Cladosporium spores. Aerobiologia 39(3), 345–361. https://doi.org/10.1007/s10453-023-09797-4"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Chrysomelidae;g__Lachnaia;s__Lachnaia pubescens"	1425578	"Clytra pubescens"	"Species"	"Herbivores"	"No"		"Samih, A., Rohi, L., Soldati, F., Maatouf, N., 2024. Response of beetle communities and functional groups to changes in structural and compositional biodiversity of cork oak forest and agricultural landscapes in the northwest of Morocco. Arxius de Miscel·lània Zoològica 22, 169–183. https://doi.org/10.32800/amz.2024.22.0169"
"k__Metazoa;p__Rotifera;c__Malacostraca;o__Amphipoda;f__Gammaridae;g__Echinogammarus;s__Echinogammarus veneris"	1435206		"Species"	"Fungivores"	"No"		"Fano, E.A., Rossi, L., Basset, A., 1982. Fungi in the diet of three benthic invertebrate species. Bolletino Di Zoologia 49(1–2), 99–105. https://doi.org/10.1080/11250008209439377"
"k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__Platypezidae;g__Agathomyia;s__Agathomyia zetterstedti"	1445820	"Callomyia zetterstedti"	"Species"	"Fungivores"	"No"	"Larvae feed on fungi"	"Chandler, P.J., Gilbert, F.S., Rotheray, G.E., 2004. Final stage larvae and puparia of Platypezidae (Diptera). Insect Systematics & Evolution 35, 79-105."
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Sphaeronematidae;g__Meloidoderita;s__Meloidoderita salina"	1446103		"Species"	"Herbivores"	"No"		"http://nemaplex.ucdavis.edu/"
"k__Metazoa;p__Nematoda;c__Enoplea;o__Dorylaimia"	1457286		"NA"	"NA"	"NA"	"Different feeding habits within the order"	
"k__Metazoa;p__Arthropoda;c__Insecta;o__Lepidoptera;f__Tortricidae;g__Cydia;s__Cydia fagiglandana"	1458189	"Tortrix fagiglandana"	"Species"	"Herbivores"	"No"		"Avtzis, D.N., Doudoumis, V., Bourtzis, K., 2014. Wolbachia Infections and Mitochondrial Diversity of Two Chestnut Feeding Cydia Species. PLOS ONE 9(11), e112795. https://doi.org/10.1371/journal.pone.0112795"
"k__Metazoa;p__Arthropoda;c__Collembola;o__Entomobryomorpha;f__Entomobryidae;g__Willowsia;s__Willowsia buski"	1458441	"Seira buskii;Sira buskii;Willowsia buski"	"Species"	"Fungivores"	"No"		"Vannier, G., Kilbertus, G., 1984. Colonization pattern of two saprophagous insect species in a decaying tree log. Revue d'Ecologie et de Biologie du Sol 21(3), 329-346"
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Rhabdocoela;f__Provorticidae;g__Baicalellia;s__Baicalellia canadensis"	1468191		"NA"	"NA"	"NA"		
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Lecithoepitheliata;f__Prorhynchidae;g__Prorhynchus;s__Prorhynchus alpinus"	1468198		"NA"	"NA"	"NA"		
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Lecithoepitheliata;f__Prorhynchidae;g__Prorhynchus;s__Prorhynchus stagnalis"	1468201		"NA"	"NA"	"NA"		
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Lecithoepitheliata;f__Prorhynchidae;g__Prorhynchus;s__Prorhynchus tasmaniensis"	1468202		"NA"	"NA"	"NA"		
"k__Metazoa;p__Platyhelminthes;c__Rhabditophora;o__Lecithoepitheliata;f__Prorhynchidae;g__Xenoprorhynchus"	1468244		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Baetidae;g__Baetis;s__Baetis ingridae"	1469374		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Ephemeroptera;f__Heptageniidae;g__Electrogena;s__Electrogena fallax"	1469378	"Baetis fallax"	"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Insecta;o__Hymenoptera;f__Pompilidae;g__Tachypompilus;s__Tachypompilus analis"	1486705		"Species"	"Carnivores"	"No"		"Barthélémy, C., 2010. Preliminary description of the predatory and nesting behavior of Tachypompilus analis (Pompilidae: Pompilinae) in Hong Kong, China. Hong Kong Entomological Bulletin 4, 3–9."
"k__Metazoa;p__Arthropoda;c__Insecta;o__Coleoptera;f__Elateridae;g__Anostirus;s__Anostirus castaneus"	1490098		"NA"	"NA"	"NA"		
"k__Metazoa;p__Arthropoda;c__Arachnida;o__Trombidiformes;f__Tetranychidae;g__Petrobia;s__Petrobia latens"	1490239	"Acarus latens"	"Species"	"Herbivores"	"No"	"Feeding on crop (includiing coriander, cumin)"	"Song, Y., Song, Y., Wang, Y., 1996. Control of Petrobia latens. Bulletin of Agricultural Science and Technology 1, 27."
"k__Metazoa;p__Arthropoda;c__Collembola;o__Symphypleona;f__Katiannidae;g__Sminthurinus;s__Sminthurinus aureus"	1496267		"NA"	"NA"	"NA"		
"k__Metazoa;p__Nematoda;c__Chromadorea;o__Rhabditida;f__Diplogastridae;g__Micoletzkya;s__Micoletzkya hylurginophila"	1498070	"Fuchsia hylurginophila"	"NA"	"NA"	"NA"		
